CodeCal_SRB,NFos,Fossil taxon,Minimum age,Node calibrated,Big clade (of clade calibrated),Order (of clade calibrated),Family (of clade calibrated),Reference (first description),Reference (latest description),Organs,Specimens,Locality,Formation,Country,Reference (age),Absolute age source,Oldest stratigraphic age,Reference time scale,Age quality score,Age justification,Reference (fossil relationships),Crown or stem?,Clade calibrated (= node calibrated if by crown),Node assignment score,Reconciliation score,Node justification,Calibration,Safe minimum age (Ma),Full taxon name,Full reference (fossil relationships),Full reference (first description),Full reference (latest description),Full reference (age)
included,275,†Leucothoe praecox,66,"crown Vaccinioideae (Ericaceae, Ericales)",Asteridae,Ericales,Ericaceae,Knobloch & Mai (1986),,Fruits and seeds,Holotype: NKM (8517),"Eisleben, graue Tone",,Germany,Knobloch & Mai (1986),stratigraphic (upper limit of oldest stratigraphic age),Maastrichtian,ICS (v2017/02),2 / unrevised (old source < 2000),"Knobloch & Mai 1986 (Praha): ""Die Pollenflora aus den basalen dunklen Tonen ist als ""Eislebener Bild"" definiert worden und wird  neuerdings (W. Krutzsch, mu¨ndl. Mitteil.) ins höhere Maastricht gestellt. Die Fru¨chte- und Samellflora entstammt einem grauen, kohligen Ton, der unmittelbar u¨ber den Auslaugungsresten des Zechsteins liegt oder Auslaugungsschlotten ausfu¨llt.""",Knobloch & Mai (1986),crown,Vaccinioideae,2 / intuitive or unspecified (trusted source),1 / pre-molecular era (before 1990),"Knobloch & Mai 1986 (Praha): ""Von der Art wurden etwa ein Dutzend Kapselfru¨chte gefunden, die sich durch ihre Kleinheit und die glatten Kelchzipfel deutlich von den eozänen Funden der Gattung Leucothoe D. DON unterscheiden (MAI - WALTHER 1985). Sie weisen ebenfalls auf die Sektion Eubotrys (Nun.) GRAY hin und zeigen durch die enganliegenden Zipfel des glockigen Kelches auch Merkmale der Gattung Pieris D. DON. Das erdgeschichtlich fru¨he Vorkommen von Resten der Andromedeae in Europa unterstreicht deren Bedeutung in der primären laurophyllen Vegetation unseres Kontinentes.""","crown Vaccinioideae (Ericaceae, Ericales), min 66 Ma",66 Ma,†Leucothoe praecox Knobloch & Mai,"Knobloch E, Mai DH. 1986. Monographie der Früchte und Samen in der Kreide von Mitteleuropa. Rozpravy ústredního ústavu geologichénho. Praha 47: 1-219.","Knobloch E, Mai DH. 1986. Monographie der Früchte und Samen in der Kreide von Mitteleuropa. Rozpravy ústredního ústavu geologichénho. Praha 47: 1-219.",,"Knobloch E, Mai DH. 1986. Monographie der Früchte und Samen in der Kreide von Mitteleuropa. Rozpravy ústredního ústavu geologichénho. Praha 47: 1-219."
included,276,†Visnea minima,66,stem Pentaphylacaceae (Ericales),Asteridae,Ericales,Pentaphylacaceae,Knobloch & Mai (1986),,Seeds,Holotype: MMG (9262),"Walbeck, graue Tone",,Germany,Magallón et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Maastrichtian,ICS (v2017/02),2 / unrevised (old source < 2000),"Magallón et al 2015 (NewPhytol): ""Fruits assigned to Visnea minima Knobloch & Mai, and to Pentaphylax protogaea Knobloch & Mai, from Walbeck, Germany, corresponding to the Maastrichtian (Knobloch & Mai, 1986).""",Magallón et al (2015),stem,Pentaphylacaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""The fruits of both species contain seeds. The fruits are capsules with five valves borne on a persistent five-parted calyx. Characters of the fossils indicate a close relationship to Pentaphylacaceae, but Knobloch & Mai (1986) noted that many of the characters of the fossils also occur in other ericalean families (Friis et al., 2011). Knobloch & Mai (1986) additionally describe species belonging to extinct genera of potential affinities with Pentaphyllacaceae. Visnea minima and Pentaphyllax protogaea could be crown group members or stem lineage representatives of Pentaphyllacaceae. They are here used to calibrate the stem node of Pentaphyllacaceae.""","stem Pentaphylacaceae (Ericales), min 66 Ma",66 Ma,†Visnea minima Knobloch & Mai,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Knobloch E, Mai DH. 1986. Monographie der Früchte und Samen in der Kreide von Mitteleuropa. Rozpravy ústredního ústavu geologichénho. Praha 47: 1-219.",,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453."
included,277,†Gilisenium hueberi,48.5,crown Polemoniaceae (Ericales),Asteridae,Ericales,Polemoniaceae,Lott et al (1998),,"Whole plant, incl. leaves and fruits","Holotype: USNM 414369 (U.S. National Museum of Natural History, Smithsonian Institution)","Along route 45, north of Watson, Uintah County, Utah","Green River Formation, Parachute Creek Member",USA,Smith et al (2003),radioisotopic,,,5 / revised (radioisotopic),"Green River Formation was deposited between ca. 53.5 Ma and 48.5 Ma, based on 40Ar-39Ar (Smith et al. 2003). (Martinez-Millan 2010 did not revise this and cited Middle Eocene instead.)",Magallón et al (2015),crown,Polemoniaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""Gilisenium hueberi is a well-preserved, complete herbaceous plant ""consisting of taproot, stems, leaves, and fruits. The full length from roots to apex is only 20.3 cm indicating that the species was an herb or shrub of low stature. The presence of fruits indicates that it is a mature plant ..."" (Lot et al., 1998). Lott et al. (1998) considered that Gilisenium is related to Polemoniaceae, and particularly with Gilia, on the basis of herbaceous habit, a woody taproot, leaves 1–3-pinnate, inflorescence paniculate, bracts linear, calyx five-lobed, and fruits with persistent calyx. The characters of the fossil do not occur collectively in a single modern species but are scattered among different extant species of Gilia (Lott et al., 1998). Based on the detailed similarities between the fossil plant and species of Gilia, we use the former to calibrate the crown node of Polemoniaceae."" Also accepted by Martinez-Millan 2010 (BotRev).","crown Polemoniaceae (Ericales), min 48.5 Ma",48.5 Ma,"†Gilisenium hueberi Lott, Manchester & Dilcher","Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Lott TA, Manchester SR, Dilcher DL. 1998. A unique and complete polemoniaceous plant from the middle Eocene of Utah, USA. Review of Palaeobotany and Palynology 104: 39–49.",,"Smith ME. 2003. 40Ar/39 Ar geochronology of the Eocene Green River Formation, Wyoming. Geological Society of America Bulletin: 549–565."
included,278,†unnamed Roridulaceae,33.9,crown Roridulaceae (Ericales),Asteridae,Ericales,Roridulaceae,Sadowski et al (2015),,Leaves,"GZG.BST.27310 and GZG.BST.27311 (Christel and Hans Werner Hoffeins collection, Hamburg)","Jantarny Mine, Kaliningrad, Blue Earth layer",Baltic amber,Russia,Sadowski et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Priabonian,ICS (v2017/02),4 / revised (stratigraphic),"Sadowski et al 2015 (PNAS): ""The leaf inclusions were discovered in an amber piece that derives from Jantarny mine near Kaliningrad (Russia). Amber in this locality is mined in the “Blue Earth” layer, which is Priabonian in age (late Eocene, 35 million years minimum age) (13, 14).""",Sadowski et al (2015),crown,Roridulaceae,3 / apomorphy-based (apomorphies unlisted or untested),3 / molecular tree only,"Sadowski et al 2015 (PNAS): ""As in extant Roridula, the fossil leaves possess two types of plant trichomes, including unicellular hairs and five size classes of multicellular stalked glands (or tentacles) with an apical pore. The apices of the narrow and perfectly tapered fossil leaves end in a single tentacle, as in both modern Roridula species. The glandular hairs of the fossils are restricted to the leaf margins and to the abaxial lamina, as in extant Roridula gorgonias.""","crown Roridulaceae (Ericales), min 33.9 Ma",33.9 Ma,†unnamed Roridulaceae Sadowski et al.,"Sadowski E-M, Seyfullah LJ, Sadowski F, Fleischmann A, Behling H, Schmidt AR. 2015. Carnivorous leaves from Baltic amber. Proceedings of the National Academy of Sciences 112: 190–195.","Sadowski E-M, Seyfullah LJ, Sadowski F, Fleischmann A, Behling H, Schmidt AR. 2015. Carnivorous leaves from Baltic amber. Proceedings of the National Academy of Sciences 112: 190–195.",,"Sadowski E-M, Seyfullah LJ, Sadowski F, Fleischmann A, Behling H, Schmidt AR. 2015. Carnivorous leaves from Baltic amber. Proceedings of the National Academy of Sciences 112: 190–195."
included,279,†Chrysophyllum tertiarum,56,crown Sapotaceae (Ericales),Asteridae,Ericales,Sapotaceae,Mehrotra (2000),,Leaf,"Holotype: Specimen no. BSIP 38094 (Birbal Sahni Institute of Palaeobotany, Lucknow)","Nangwalbibra near Williamnagar, East Garo Hills District, Meghalaya",Tura Formation,India,Mehrotra (2000),stratigraphic (upper limit of oldest stratigraphic age),Late Paleocene,ICS (v2017/02),2 / unrevised (old source < 2000),"Mehrotra 2000 (Paleobotanist): ""the general stratigraphic sequence noticed in the area is given below in Fig. 2. As evident from this figure the Tura Formation is considered as Upper Palaeocene in age (Saxena er at., 1996; Mehrotra ef at., 1998).""",Martinez-Millan (2010),crown,Sapotaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Martinez-Millan 2010 (BotRev) did not provide a detailed justification, but presumably relied on Mehrotra 2000 (Paleobotanist): ""The diagnostic characters of the fossil are: elliptic shape, rounded base, entire margin, eucamptodromous venation, moderate to wide acute angle of divergence of secondary veins, stout primary vein and presence of intersecondary veins. These features indicate the affinities of the fossil leaf with that of Chrysophyllum Linnaeus of Sapotaceae. Its identification up to specific level is not possible due to absence of well preserved tertiaries in the present fossi I leaf. However. the only species available for comparison, C. cainilO, shows close resemblance with the fossil.""","crown Sapotaceae (Ericales), min 56 Ma",56 Ma,†Chrysophyllum tertiarum Mehrota,Martínez-Millán M. 2010. Fossil record and age of the Asteridae. Botanical Review 76: 83–135.,"Mehrotra, R. C. 2000. Study of plant megafossils from the Tura Formation of Nangwalbibra, Garo Hills, Meghalaya, India. The Palaeobotanist 49(2): 255–237.",,"Mehrotra, R. C. 2000. Study of plant megafossils from the Tura Formation of Nangwalbibra, Garo Hills, Meghalaya, India. The Palaeobotanist 49(2): 255–237."
included,280,†Rehderodendron stonei,47.8,stem Styracaceae (Ericales),Asteridae,Ericales,Styracaceae,Reid & Chandler (1933),,Endocarps,"BM v30451, BM v30347","Herne Bay, England",London Clay Flora,UK,Chandler (1961a),stratigraphic (upper limit of oldest stratigraphic age),Ypresian,ICS (v2017/02),2 / unrevised (old source < 2000),"Chandler 1961a (book) clearly places the London Clay Flora in the Ypresian, an age that has apparently not been challenged since.",Magallón et al (2015),stem,Styracaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""The genus corresponds to well preserved fruits from the Tertiary of Europe, including the Early Eocene London Clay of England (Mai, 1970), the Miocene of Germany (Mai, 1970), the Pliocene of Germany and Italy (Geissert and Gregor, 1981; Martinetto, 1998, in Manchester et al., 2009), and the Upper Pliocene of Romania (Mai & Petrescu, 1983, in Manchester et al., 2009). The fruits of Rehderodendron stonei could 43 correspond to crown group or stem lineage Styracaceae, and use it to calibrate the stem node of this family.""","stem Styracaceae (Ericales), min 47.8 Ma",47.8 Ma,†Rehderodendron stonei (Reid et Chandler) Mai,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Reid EM, Chandler MEJ. 1933. The London Clay flora. British Museum (Natural History), London, UK.",,Chandler MEJ. 1961. The Lower Tertiary floras of southern England. I. Paleocene Floras. London Clay Flora (Supplement). Text and Atlas. London: British Museum (Natural History).
included,281,†Styrax transversa,48.5,crown Styracaceae (Ericales),Asteridae,Ericales,Styracaceae,MacGinitie (1969),,Leaf,Holotype: PA20643,"Wardell Ranch (loc. PA106), Colorado,","Parachute Creek Member, Green River Formation",USA,Smith et al (2003),radioisotopic,,,5 / revised (radioisotopic),"Green River Formation was deposited between ca. 53.5 Ma and 48.5 Ma, based on 40Ar-39Ar (Smith et al. 2003)",MacGinitie (1969),crown,Styracaceae,1 / intuitive or unspecified,1 / pre-molecular era (before 1990),"MacGinitie 1969 (UCPublGeoSci): ""The fossil leaves are characterized by dentate margins, low angle of the secondaries, and tertiary venation aligned perpendicular to the midrib. They are closely similar to the leaves of the living Styrax agrostis G. Don now native to Indo-China, and they show strong similarities to several other species of Styrax: S. americana Lambert from the southern Appalachians and S. philadelphoides Perkins and S. faberi Perkins from southern and central China.""","crown Styracaceae (Ericales), min 48.5 Ma",48.5 Ma,†Styrax transversa MacGinitie,MacGinitie 1969. The Eocene Green River flora of northwestern Colorado and northeastern Utah. Univ. Calif. Publ. Geo. Sci. 83: 1-140,MacGinitie 1969. The Eocene Green River flora of northwestern Colorado and northeastern Utah. Univ. Calif. Publ. Geo. Sci. 83: 1-140,,"Smith ME. 2003. 40Ar/39 Ar geochronology of the Eocene Green River Formation, Wyoming. Geological Society of America Bulletin: 549–565."
included,282,†Symplocos grimsleyi,47.8,crown Symplocaceae (Ericales),Asteridae,Ericales,Symplocaceae,Tiffney (1999),,Endocarp,"Type specimen: USNM #495852 (National Museum of Natural History, Smithsonian Institution)","Fisher/Sullivan site, unnamed tributary of Muddy Creek in eastem Stafford County Virginia (77'22'02"" W, 38' 17'06"" N); ""Bed B""","Potapaco Member, Nanjemoy Formation",USA,Martinez-Millan (2010),stratigraphic (upper limit of oldest stratigraphic age),Ypresian,ICS (v2017/02),2 / unrevised (old source < 2000),"Martinez-Millan 2010 (BotRev): ""Early Ypresian, Early Eocene""",Martinez-Millan (2010),crown,Symplocaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,Accepted by Martinez-Millan 2010 (BotRev),"crown Symplocaceae (Ericales), min 47.8 Ma",47.8 Ma,†Symplocos grimsleyi Tiffney,Martínez-Millán M. 2010. Fossil record and age of the Asteridae. Botanical Review 76: 83–135.,"Tiffney B H. 1999. Fossil fruit and seed flora from the Early Eocene Fisher/Sullivan Site. Pages 139–159 in RE Weems & GJ Grimsley (eds.), Early Eocene vertebrates and plants from the Fisher/Sullivan Site (Nanjemoy Formation) Stafford County, Virginia. Virginia Division of Mineral Resources Publication.",,Martínez-Millán M. 2010. Fossil record and age of the Asteridae. Botanical Review 76: 83–135.
included,283,†Psilatricolporites crassus,23.03,crown Tetrameristaceae (Ericales),Asteridae,Ericales,Tetrameristaceae,Van der Hammen & Wymstra (1964),Germeraad et al (1968),Pollen,"Holotype: slide Monty 47a, loc. 107.2 X 36.5 (mier. Po 40)","Pollen zone EF of the Montgomery mine, Mackenzie, Maracaibo Basin (Riecito Maché)",,Guyana,Van der Hammen & Wymstra (1964),stratigraphic (upper limit of oldest stratigraphic age),Oligocene,ICS (v2017/02),2 / unrevised (old source < 2000),"Van der Hammen & Wymstra 1964 (LeidseGeolMeded): ""It will be clear that we may at any rate safely assign an ""Oligocène to Lower Miocene"" age to zones E and F.""",Germeraad et al (1968),crown,Tetrameristaceae,1 / intuitive or unspecified,1 / pre-molecular era (before 1990),"Germeraad et al 1968 (RevPalPal): ""Recently LANGENHEIM et al. (1967) have described a fossil pollen closely resembling that of Pelliciera rhizophorae (Theaceae) from the Oligo-Miocene of Chiapas (Mexico). The resemblance to some variations of Psilatricolporites crassus is striking indeed and the possibility that this monotypic mangrove genus had formerly a much wider range is worth further investigation.""","crown Tetrameristaceae (Ericales), min 23.03 Ma",23.03 Ma,†Psilatricolporites crassus van der Hammen & Wymstra,"Germeraad JH, Hopping CA, Muller J. 1968. Palynology of Tertiary sediments from tropical areas. Review of Palaeobotany and Palynology 6: 189–348.","Van der Hammen T, Wymstra TA. 1964. A palynological study on the tertiary and Upper Cretaceous of British Guiana. Leidse Geologische Mededelingen 30: 183–241.","Germeraad JH, Hopping CA, Muller J. 1968. Palynology of Tertiary sediments from tropical areas. Review of Palaeobotany and Palynology 6: 189–348.","Van der Hammen T, Wymstra TA. 1964. A palynological study on the tertiary and Upper Cretaceous of British Guiana. Leidse Geologische Mededelingen 30: 183–241."
included,284,†Andrewsiocarpon henryense,37.8,crown Theaceae (Ericales),Asteridae,Ericales,Theaceae,Grote & Dilcher (1989),,Seed/fruit,Holotype is specimen IU15815- 459 (Indiana University Paleobotany Collection),"Lamkin clay pit, Graves County, Kentucky (IU loc.15815)",Claiborne Formation,USA,Sauquet et al (2012),stratigraphic (upper limit of oldest stratigraphic age),Bartonian,ICS (v2017/02),4 / revised (stratigraphic),"See Sauquet et al 2012 (SystBiol) on +Castanopsoidea columbiana (in Appendix S2): ""Oldest Claiborne beds are in calcaraeous nannoplankton zone NP12, and youngest are in zone NP17 but also within the Bartonian marine stage (e.g., Dockery 1998). Using GTS 2004, base of NP12 is 52.3 Ma (+/- about 0.2 Ma) and end of Bartonian is 37.2 +/- 0.1 Ma."" Here, we have revised the absolute age using the ICS v2017/02 geologic time scale.",Martinez-Millan (2010),crown,Theaceae,3 / apomorphy-based (apomorphies unlisted or untested),3 / molecular tree only,"Accepted by Martinez-Millan 2010 (BotRev).
Grote & Dilcher 1989 (BotGaz): ""Andrewsiocarpon is a locllicidally dehiscent five-valved cap- sule with persistent imbricate sepals, a large central columella, and five two-seeded locules. Detailed mor- phological and anatomical analyses of the fossil genus and comparison with fruits and seeds of many extant genera provide evidence that allows placement into the subfamily Camellioideae of the Theaceae but not within any modern genus. Andrewsiocarpon shares characters with several modern genera in this subfamily, but appears most similar to Franklinia""","crown Theaceae (Ericales), min 37.8 Ma",37.8 Ma,†Andrewsiocarpon henryense Grote et Dilcher,Martínez-Millán M. 2010. Fossil record and age of the Asteridae. Botanical Review 76: 83–135.,"Grote PJ, Dilcher DL. 1989. Investigations of Angiosperms from the Eocene of North America: A New Genus of Theaceae Based on Fruit and Seed Remains. Botanical Gazette 150: 190-206",,"Sauquet H, Ho SYW, Gandolfo MA, Jordan GJ, Wilf P, Cantrill DJ, Bayly MJ, Bromham L, Brown GK, Carpenter RJ, Lee DM, Murphy DJ, Sniderman JMK, Udovicic F. 2012. Testing the impact of calibration on molecular divergence times using a fossil-rich group: the case of Nothofagus (Fagales). Systematic Biology 61: 289–313."
included,313,†Carpites ulmiformis,66,stem Apiaceae (Apiales),Campanulidae,Apiales,Apiaceae,Dorf (1942),,Fruit,"Holotype: USNM 40260. Other specimens: USNM 455147, USNM 455149, DMNH 20484","U. S. Geol. Survey Locality 1479. Near Buck Creek corrals, Converse County, Wyoming",Lance Formation,USA,Dorf (1942),stratigraphic (upper limit of oldest stratigraphic age),Maastrichtian,ICS (v2017/02),4 / revised (stratigraphic),Stratigraphy (Dorf 1942),Manchester & O’Leary (2010),stem,Apiaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Manchester & Oleary 2010 (BotRev): ""Compressed fruits of Carpites ulmiformis Dorf (1942) from the Late Cretaceous (Maastrichtian) of Wyoming and Montana are likely to represent Apicaceae. They have an obovate–elliptical fruit body with a pair of prominent lateral wings and clearly show a persistent epigynous perianth of several equal tepals fused basally into a short tube that arises the top of the fruit (Fig. 20f, g). A prominent fimbrial vein outlines each wing (Fig. 20f–k), but venation fanning across the wing from the obovate central body is fine and inconspicuous. The fruit body is traversed by a straight median longitudinal vein and four additional longitudinal veins symmetrically placed on either side of the median vein. The outline of the fruit is cordate apically and rounded to cuneate basally. These disseminules resemble the""","stem Apiaceae (Apiales), min 66 Ma",66 Ma,†Carpites ulmiformis Dorf,"Manchester SR, O’Leary EL. 2010. Phylogenetic distribution and identification of fin-winged fruits. Botanical Review 76: 1–82.","Dorf E. 1942. Upper Cretaceous floras of the Rocky Mountain Region. II. Flora of the Lance Formation at its type locality, Niobrara County, Wyoming. Carnegie Inst. Wash. Contrib. Palaeont. 508: 79–159.",,"Dorf E. 1942. Upper Cretaceous floras of the Rocky Mountain Region. II. Flora of the Lance Formation at its type locality, Niobrara County, Wyoming. Carnegie Inst. Wash. Contrib. Palaeont. 508: 79–159."
included,312,†Umbelliferospermum latahense,41.2,stem Apiaceae (Apiales),Campanulidae,Apiales,Apiaceae,Berry (1929),,Fruit,"Plate 64, Figures 10-12 [specimen numbers not provided in original description]",Brickyard at Spokane (Washington),Latah Formation,USA,Magallón et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Middle Eocene (Lutetian assumed),ICS (v2017/02),3 / unrevised (recent source >= 2000),"Magallón et al 2015 (NewPhytol): ""Fruit assigned to Umbelliferospermum latahense from the Middle Eocene of Washington, USA (Berry, 1929; in Manchester & O’Leary, 2010).""",Magallón et al (2015),stem,Apiaceae,3 / apomorphy-based (apomorphies unlisted or untested),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""Umbelliferospermum latahense are described as dispersed mericarps with paired veinless wing an apically positioned persistent perianth (Manchester & O'Leary, 2010). These authors consider that the fossil displays characters diagnostic of the family. We tentatively accept Umbelliferospermum latahense as a stem representative or crown
member of Apiaceae, and use it to calibrate its stem node.""","stem Apiaceae (Apiales), min 41.2 Ma",41.2 Ma,†Umbelliferospermum latahense Berry,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.",Berry E. 1929. A revision of the flora of the Latah Formation. United States Geological Survey Professional Paper 154: 225–264.,,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453."
included,314,†Paleopanax oregonensis,41.2,"crown Aralioideae (Araliaceae, Apiales)",Campanulidae,Apiales,Araliaceae,Manchester (1994),,Endocarp,"Holotype: OMSI Pb810. Paratypes: OMSIPM779, PM014.","Face 3, Clarno Nut Beds","Nut Beds Flora, Clarno Formation",USA,Sauquet et al (2012),stratigraphic (upper limit of oldest stratigraphic age),Middle Eocene (Lutetian assumed),ICS (v2017/02),2 / unrevised (old source < 2000),"Summarized by Sauquet et al 2012 (SystBiol) on Castanopsis crepetii: ""40Ar–39Ar weighted mean age of 43.8 ± 0.3 Ma, and Bridgerian mammal fossils (Manchester 1994)"" Here, we conservatively used the equivalent stratigraphic age (but this will be revised in future versions of this dataset).",Magallón et al (2015),crown,Aralioideae,3 / apomorphy-based (apomorphies unlisted or untested),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""The fruit of Paleopanax oregonensis is described as “wide-elliptical in face view, bicarpellate, bilaterally symmetrical, dorsiventrally compressed, with an epigynous perianth bulge; base flat or somewhat cordate, apex rounded; length 4.5-5.6 mm, width 5.4-6.6 mm, estimated thickness 1-2 mm; carpels D-shaped in face view, with two to three arched longitudinal grooves, adjoined ventrally at the central fruit axis by their straight margins, outer margins convex, smooth; pedicel >2.0 mm long, >0.3 mm thick; two styles arising parallel to each other from the apex, 2.0-3.0 mm long, recurving distally.” (Manchester, 1994). Manchester (1994) considered that this fossil fruit is similar to those of Apiaceae and Araliaceae in having an epigynous perianth, as many styles as carpels and schizocarp morphology. The the apical bulge in the perianth region may be interpreted as a nectary disk, as is characteristic of Apiales. Manchester (1994) indicated that paired thin mericarps are characteristic of Apiaceae, and of some Araliaceae; but that specialized carpophores as those in Apiaceae are not developed in the fossil. The fossil is particularly similar to those of the extant genus Pseudopanax. The fossil Paleopanax differs in having two distinct styles (Manchester, 1994). Considering the similarities between Paleopanax and fruits of Pseudopanax, we consider that the fossil was an extinct member of crown group Araliaceae, and use it to date the crown node of the family."" Here, we less conservatively use this fossil to constrain the crown node of Aralioideae (the clade that includes Pseudopanax), on the assumption that is is more closely related to Pseudopanax than any member of Hydrocotyloideae. Accepted by Martinez-Millan 2010 (BotRev) as a reliable record of Araliaceae.","crown Aralioideae (Araliaceae, Apiales), min 41.2 Ma",41.2 Ma,†Paleopanax oregonensis Manchester,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Manchester SR. 1994. Fruits and Seeds of the Middle Eocene Nut Beds Hora, Clarno Formation, Oregon. Paleontographica Americana 58: 1-205",,"Sauquet H, Ho SYW, Gandolfo MA, Jordan GJ, Wilf P, Cantrill DJ, Bayly MJ, Bromham L, Brown GK, Carpenter RJ, Lee DM, Murphy DJ, Sniderman JMK, Udovicic F. 2012. Testing the impact of calibration on molecular divergence times using a fossil-rich group: the case of Nothofagus (Fagales). Systematic Biology 61: 289–313."
included,315,†Toricellia bonensii,56,crown Torricelliaceae (Apiales),Campanulidae,Apiales,Torricelliaceae,Manchester (1994),Manchester (1999),Fruit,Holotype: UF 9288,"Almont (North Dakota), Oregon [not type]",,USA,Manchester et al (2009),stratigraphic (upper limit of oldest stratigraphic age),Late Paleocene,ICS (v2017/02),3 / unrevised (recent source >= 2000),"Manchester et al 2009 (JSystEvol): ""Fossil endocarps of Toricellia are known from the Eocene of Oregon and Washington, USA (Manchester, 1999), as well as from the Eocene of Messel, Germany and the Miocene of Oberdorf, Austria (Meller, 2006). The oldest known occurrence is from the Paleocene of Almont, North Dakota, USA, based on the single specimen illustrated here (Figs. 53–55).""",Magallón et al (2015),crown,Torricelliaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""The fruits of the extant Torricellia have “endocarps of three chambers: a small central chamber containing a seed, and two large lateral chambers that are empty; there is no central vascular strand, and the endocarp wall and septa are composed of isodiametric sclereids (Manchester, 1999; Meller, 2006).” (Manchester et al., 2009). Manchester et al. (2009) indicate that endocarps of Torricellia are known from Eocene and Miocene sediments of Europe, but the oldest known occurrence of the genus is from the Paleocene Almont locality. Based on the detailed structural similarity between the fossil fruits and those of the extant genus, we use the former to calibrate the crown node of Torricelliaceae.""","crown Torricelliaceae (Apiales), min 56 Ma",56 Ma,†Toricellia bonensii (Manchester) Manchester,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Manchester SR. 1994. Fruits and Seeds of the Middle Eocene Nut Beds Hora, Clarno Formation, Oregon. Paleontographica Americana 58: 1-205",Manchester SR. 1999. Biogeographical relationships of North American Tertiary floras. Annals of the Missouri Botanical Garden 86: 472–522.,"Manchester SR, Chen ZD, Lu AM, Uemura K. 2009. Eastern Asian endemic seed plant genera and their paleogeographic history throughout the Northern Hemisphere. Journal of Systematics and Evolution 47: 1–42."
